K,N,stage,time_ms,gflops,speedup,instructions,cycles,ipc,branches,branch_misses,branch_miss_rate_pct,branch_mpki,l1_loads,l1_misses,l1_mpki
3,256,naive,0.59,2.0,1.0,13617605,5672992,2.4004273230069777,2010277,17625,0.8767448466057166,1.2942804553370435,2560450,28111,2.0643130712045177
3,256,reorder,0.373,3.16,1.58,11780630,5291221,2.22644829992926,1744611,19881,1.1395663560530112,1.6876007480075343,2550524,27242,2.312439996842274
3,256,unroll,0.186,6.35,3.1,9027904,4517943,1.9982332667764955,1263813,17443,1.3801883664751036,1.9321206782881164,2042161,27526,3.048991216565883
3,512,naive,1.945,2.43,1.0,44740937,13880939,3.2231923935405233,6302576,19394,0.3077154484134741,0.43347326409368675,7823858,43647,0.9755495286117946
3,512,reorder,1.205,3.92,1.61,37439542,11788635,3.1759013660190516,5253535,24052,0.45782506445659926,0.6424223886072111,7807104,44665,1.1929900210851938
3,512,unroll,0.685,6.89,2.84,26454851,11151229,2.3723708839626556,3334207,19332,0.5798080323147303,0.7307544465096402,5767449,38394,1.4513028253305982
3,1024,naive,7.769,2.43,1.0,169180608,46106377,3.6693537642309217,23474658,25524,0.10873001855873682,0.1508683548412357,28859202,92502,0.5467647923336462
3,1024,reorder,4.809,3.93,1.62,139671476,40081622,3.484676243890529,19233623,34945,0.18168703837025402,0.2501942486810979,28804453,100256,0.7177986720781844
3,1024,unroll,2.716,6.95,2.85,96072332,34710750,2.767797641940897,11602067,25735,0.22181392332935157,0.26787108696393463,20650997,94834,0.9871104200947262
3,2048,naive,30.982,2.44,1.0,668772665,184163859,3.6314001489293295,92418120,47256,0.05113282979571539,0.0706607827639008,113011084,280618,0.41960147997376657
3,2048,reorder,23.023,3.28,1.35,550326095,178923259,3.075766102606034,75401067,65631,0.08704253482248467,0.11925838261403905,112742025,302269,0.5492543470976059
3,2048,unroll,11.024,6.85,2.81,376206761,140078877,2.685678019820219,44908054,47779,0.10639294234392788,0.12700197059988508,80147016,277558,0.7377804674807533
3,4096,naive,120.201,2.51,1.0,2670533379,719884101,3.709671286378361,368666570,129478,0.035120624037053315,0.04848394744591582,450600749,1235774,0.46274426289430776
3,4096,reorder,79.811,3.78,1.51,2200371256,618499721,3.557594581356327,301436764,165046,0.054753109013603925,0.07500825124394371,450417335,1405851,0.6389153631081608
3,4096,unroll,43.049,7.01,2.81,1504517748,534783589,2.8133207131754374,179526836,130891,0.07290887697703312,0.08699864137461807,320114107,1276713,0.8485862009252948
9,256,naive,4.254,2.5,1.0,45486560,13762889,3.3050153932070514,7123361,81559,1.14495109822456,1.7930351294975921,12002300,29665,0.6521706631585241
9,256,reorder,2.749,3.86,1.55,45111534,10600981,4.25541126807038,6494104,40453,0.6229188814962002,0.8967329729908985,12020703,28028,0.6213045204802834
9,256,unroll,1.435,7.4,2.96,17156639,6988985,2.4548112494160454,1906373,18029,0.9457225841952231,1.0508468471009969,7354648,28653,1.6700823512110967
9,512,naive,16.665,2.55,1.0,172263043,45475868,3.7880100056583856,26769093,271933,1.0158468947752544,1.5785916425498183,45598422,47732,0.27708787194708967
9,512,reorder,10.394,4.09,1.6,170195421,33021221,5.154122586805618,24196532,65771,0.271819945106183,0.38644400427200687,45629233,46026,0.27043030728776185
9,512,unroll,5.683,7.47,2.98,58965928,21023097,2.8048164359418597,5902096,46644,0.7902955153559007,0.7910330860899875,27017610,49982,0.847642048472467
9,1024,naive,66.297,2.56,1.0,679197508,173045049,3.924975097091625,105319041,961854,0.9132764511215024,1.4161624397479384,179949859,113088,0.16650237768540221
9,1024,reorder,40.199,4.23,1.65,669590142,121189113,5.52516744635304,94896425,118861,0.12525340127407328,0.17751306738921493,179983963,137829,0.20584084405472025
9,1024,unroll,22.768,7.46,2.91,226092353,75352143,3.000476748219357,21870195,52811,0.24147475594067636,0.2335815400178528,105643763,132412,0.5856544825290929
9,2048,naive,256.935,2.64,1.0,2708319219,671890324,4.030894808659277,419715766,3150509,0.7506291769845025,1.1632709238622436,717257452,395302,0.1459584221929195
9,2048,reorder,160.613,4.23,1.6,2668544535,485166337,5.50026729286455,377996104,236158,0.062476305311337285,0.0884969304062973,717415920,591428,0.22162942841798966
9,2048,unroll,89.955,7.55,2.86,896663752,304156484,2.9480343151257626,86065442,251900,0.2926842576373453,0.2809302812098063,420201519,458422,0.5112529629724566
9,4096,naive,988.595,2.75,1.0,10833211517,2577660374,4.202730362103165,1678864132,8703757,0.5184312913774252,0.8034327573445458,2868506800,1590873,0.14685146666835824
9,4096,reorder,644.248,4.22,1.53,10668086220,1925357109,5.54083508463572,1511215184,503098,0.03329095719302937,0.04715916141142699,2868521099,2021709,0.18950999816722514
9,4096,unroll,358.717,7.58,2.77,3586276040,1209453669,2.9652033243780256,344146965,282669,0.0821361304174221,0.07881964378849098,1680334023,1788594,0.49873294192936696
15,256,naive,11.903,2.48,1.0,105793434,30878623,3.426105950385158,16978135,83305,0.4906604877390832,0.7874307208895404,30908194,33586,0.3174677173254438
15,256,reorder,7.2,4.1,1.65,111742895,21779089,5.130742383209876,15989246,79507,0.4972529661498735,0.7115172736485841,30958601,30307,0.2712208234805444
15,256,unroll,3.805,7.75,3.12,32972143,12229764,2.696057176573481,3141742,25677,0.8172854422801109,0.7787482906403749,17979640,28344,0.8596347528882184
15,512,naive,46.747,2.52,1.0,413281620,114388784,3.6129557946870037,66153443,283260,0.42818633037739245,0.6853922030212715,121180378,63870,0.15454352893796727
15,512,reorder,28.221,4.18,1.66,435609468,75165802,5.795314576700719,62066548,143709,0.23154018489960163,0.3299032976941631,121260060,58161,0.13351638169627664
15,512,unroll,14.764,7.99,3.14,122220210,42078574,2.904571100722187,10842169,52991,0.48874906856736877,0.4335698654093296,69517843,55502,0.4541147491073694
15,1024,naive,184.457,2.56,1.0,1643046262,447312014,3.673154779160481,262820981,1079716,0.4108180389144807,0.657142787133525,482220807,163660,0.09960766399893371
15,1024,reorder,111.179,4.24,1.66,1729260751,285423992,6.058568303536306,246197421,273949,0.11127208355281674,0.15841971769820154,482319266,283410,0.1638908416999051
15,1024,unroll,59.698,7.9,3.22,478965387,161029956,2.974386871222892,41609115,158471,0.3808564541687561,0.3308610690901554,275606933,296022,0.6180446605006971
15,2048,naive,740.031,2.55,1.0,6564398126,1794016466,3.659051212966961,1049840586,4256190,0.4054129795283034,0.6483747509375242,1926514582,565216,0.08610324802837833
15,2048,reorder,450.438,4.19,1.64,6904608229,1131852555,6.100271805279443,983079854,543715,0.05530730772151496,0.078746683659233,1926681502,840058,0.12166628027810149
15,2048,unroll,240.185,7.86,3.54,1909494609,646543364,2.953389850274606,165278085,575205,0.348022546364813,0.3012341576084544,1100371347,1112795,0.5827693855510644
15,4096,naive,2978.306,2.53,1.0,26263959120,7588418568,3.461058306766823,4200307576,16990277,0.40450078220652674,0.6469046392576018,7706893443,2247376,0.08556882036450565
15,4096,reorder,1777.786,4.25,1.68,27599799310,4508963945,6.1210955879577345,3929949950,1126396,0.028661840846090164,0.040811746032946065,7703824022,2834939,0.10271592804563766
15,4096,unroll,952.306,7.93,3.09,7633134136,2597490732,2.9386569283820645,660041449,2235933,0.3387564528542207,0.29292463097886795,4399959630,3015553,0.39506092075308974
21,256,naive,23.266,2.48,1.0,194426878,56861218,3.419323131629013,31554738,85499,0.2709545552240047,0.43974887052396117,59255574,35830,0.18428522007127018
21,256,reorder,14.451,4.0,1.61,211648258,38278952,5.529102729876199,30225686,136833,0.45270436541953096,0.6465113452528393,59354819,34704,0.16397016601005995
21,256,unroll,7.215,8.01,3.19,56480767,20072260,2.8138718310743283,4971244,26295,0.5289420515267406,0.4655567088881778,33917299,30191,0.5345359421199078
21,512,naive,91.597,2.52,1.0,767697382,218465013,3.514051844997258,124438911,295045,0.23710027484891766,0.38432461399223583,234542667,71135,0.09266020917601618
21,512,reorder,55.4,4.17,1.65,833668084,137459419,6.06483055191729,118862200,257476,0.216617225661312,0.308847135858448,234691423,110730,0.13282264503723043
21,512,unroll,28.433,8.13,3.26,216183032,72750689,2.9715599257073704,18147807,53220,0.293258573887192,0.24618028301129574,133258062,74538,0.34479116751401656
21,1024,naive,371.38,2.49,1.0,3060649512,864838831,3.5389825274855173,495948828,1126242,0.22708834791318433,0.36797483527084757,935663002,201822,0.06594090542177702
21,1024,reorder,220.228,4.2,1.69,3318471331,530932607,6.250268465805491,473101951,501401,0.10598159634306814,0.1510939676700193,935759029,376222,0.11337208083898917
21,1024,unroll,122.232,7.57,3.27,855335673,331650043,2.5790307918036364,70920419,217629,0.30686366926286773,0.2544369501586309,530704641,167310,0.19560741505516513
21,2048,naive,1476.858,2.5,1.0,12238313523,3980035037,3.0749260770892053,1982926137,4944483,0.2493528582703835,0.4040166964759986,3741079170,846409,0.0691605913191639
21,2048,reorder,858.982,4.31,1.72,13255688634,2110551839,6.280674271559553,1890160519,1005203,0.05318082723110777,0.07583182041721455,3739968691,1126810,0.085005768550553
21,2048,unroll,460.87,8.03,3.22,3412025892,1143021678,2.985092896899546,282023708,596724,0.21158646704978434,0.1748884735602704,2120037219,516249,0.15130277915253287
21,4096,naive,5942.47,2.49,1.0,48935366441,13855240595,3.5319030445894612,7928667732,18631637,0.23499076553306622,0.3807397053512135,14959672470,2896583,0.05919201613606652
21,4096,reorder,3503.199,4.22,1.7,52997994581,8458657427,6.2655326851079955,7558124924,2057059,0.027216525536221742,0.038813902606372665,14957007813,4327645,0.08165676898181122
21,4096,unroll,1860.824,7.95,3.18,13644831149,4607187479,2.961640091963794,1127252527,2547035,0.22595070217128022,0.18666665583374892,8478974889,2225516,0.163103227566367
