K,N,tile_config,TY,TX,time_ms,gflops,speedup,instructions,cycles,ipc,branches,branch_misses,branch_miss_rate_pct,branch_mpki,l1_loads,l1_misses,l1_miss_rate_pct,l1_mpki
3,256,naive,0,0,0.289,4.08,1.0,13525477,5331729,2.5367900356526,1993205,16820,0.8438670382624969,1.2435790619436193,2538786,26144,1.0297835264571336,1.9329447678629004
3,256,tile_16x16,16,16,0.332,3.56,0.87,13953984,5723357,2.43807681400968,2023159,21363,1.0559229403126498,1.5309606202787676,2686613,26152,0.973418947946727,1.8741600965000391
3,256,tile_16x64,16,64,0.296,3.99,0.98,13889721,5531987,2.510801453437978,2018276,18555,0.9193489889390748,1.3358799647595514,2651627,26953,1.0164702652371544,1.9404997407795304
3,256,tile_16x256,16,256,0.283,4.17,1.02,13716806,5443061,2.5200536977263344,1991099,17071,0.8573657060748863,1.2445317080375708,2605910,26036,0.9991135534227966,1.8981095161657897
3,256,tile_32x32,32,32,0.304,3.88,0.94,13770120,5394610,2.552570065305926,1997733,18792,0.9406662451889216,1.364693989594862,2628746,25942,0.9868583727754602,1.8839341995567214
3,256,tile_32x64,32,64,0.291,4.06,1.0,13736089,5372568,2.5567082631620486,1993658,17856,0.8956400746768002,1.299933336191983,2614170,26408,1.0101867896885053,1.9225268560796307
3,256,tile_32x128,32,128,0.284,4.16,1.02,13719112,5439491,2.5221315744432706,1992472,17270,0.8667624940275195,1.2588278308391974,2607140,27118,1.040143605636828,1.9766585475794645
3,256,tile_32x256,32,256,0.281,4.2,1.03,13716371,5265269,2.6050655721483555,1992320,17235,0.8650718760038547,1.2565276923466127,2604923,25583,0.9821019661617638,1.8651434843808177
3,256,tile_64x64,64,64,0.291,4.05,0.99,13887445,5568484,2.493936410699932,2017840,18949,0.9390734646949213,1.3644698502856356,2651069,28881,1.0894095928849834,2.0796482002268957
3,256,tile_64x128,64,128,0.284,4.15,1.01,13746296,5533126,2.4843634502449428,1996152,17437,0.8735306730148806,1.2684871619234737,2614311,27209,1.040771354287994,1.9793695698099327
3,256,tile_64x256,64,256,0.281,4.19,1.02,13747393,5404335,2.543771435338483,1997379,17157,0.8589756876386504,1.2480184424785121,2612344,28304,1.0834713958039217,2.058863087714158
3,256,tile_128x128,128,128,0.284,4.15,1.01,13725665,5419035,2.5328614781044965,1993647,17300,0.8677564282944774,1.260412519174845,2607865,26738,1.025283133904554,1.948029476167457
3,512,naive,0,0,1.122,4.21,1.0,44630383,13536205,3.2971119305595624,6285943,19159,0.3047911824844737,0.4292815501941805,7794898,38589,0.49505458570464933,0.8646351970584703
3,512,tile_16x16,16,16,1.332,3.54,0.85,45880189,14094786,3.2551178144882797,6328649,36010,0.5689997975871312,0.7848703500327777,8272037,42886,0.5184454566632137,0.934738956720514
3,512,tile_16x64,16,64,1.17,4.03,0.96,45507406,13563875,3.355044631419856,6291150,22704,0.36088791397439257,0.49890780414950486,8104956,40152,0.4954005919341203,0.8823179242517141
3,512,tile_16x256,16,256,1.13,4.18,1.0,45386839,13483533,3.36609396068523,6278396,19544,0.311289698833906,0.43060941080298626,8057263,38879,0.48253358491587034,0.8566139624748927
3,512,tile_32x32,32,32,1.223,3.86,0.92,45669187,13872818,3.2919906395369707,6309590,27211,0.4312641550401849,0.5958284302280222,8170101,47897,0.5862473425971111,1.048781534035191
3,512,tile_32x64,32,64,1.156,4.08,0.97,45493775,13620222,3.340163985579677,6289297,22804,0.36258424431220215,0.5012553915343363,8102118,46320,0.5717023622711986,1.0181612759108252
3,512,tile_32x128,32,128,1.142,4.13,0.99,45540804,13562449,3.357859926330414,6300077,20880,0.33142452068442974,0.45848992916330594,8102174,42402,0.5233410193362917,0.9310771061485871
3,512,tile_32x256,32,256,1.127,4.19,0.99,45407141,13438227,3.378953265188927,6282085,19679,0.31325586966747504,0.43338998154497327,8061800,41263,0.5118335855516137,0.9087337165755492
3,512,tile_64x64,64,64,1.17,4.03,0.96,45556694,13597661,3.3503331197917054,6298407,23229,0.36880754133545196,0.5098921357199449,8117589,44744,0.5511981451635455,0.9821608214151799
3,512,tile_64x128,64,128,1.142,4.13,0.98,45433727,13419486,3.385653295513703,6283730,20562,0.32722602657975436,0.45257128036183336,8075036,42041,0.5206292578757544,0.9253258047705397
3,512,tile_64x256,64,256,1.128,4.18,0.99,45507810,13604669,3.345014127135324,6296421,19989,0.31746606524563714,0.43924328593267836,8087546,40706,0.5033170754144706,0.89448382596306
3,512,tile_128x128,128,128,1.141,4.14,0.98,45426836,13595017,3.341432820569478,6281801,20660,0.32888657249728226,0.45479724804078364,8073380,43181,0.5348565284924034,0.9505614698765285
3,1024,naive,0,0,4.454,4.24,1.0,169334775,46709289,3.625291213488606,23517998,24739,0.1051917769531233,0.146095212870481,28883230,92089,0.3188320696819573,0.5438280471332602
3,1024,tile_16x16,16,16,5.334,3.54,0.84,173946058,48382180,3.5952505240565844,23607519,93227,0.39490384398292766,0.5359535080697259,30706124,163351,0.5319818287713552,0.9390899792624217
3,1024,tile_16x64,16,64,4.658,4.05,0.96,172503274,46266962,3.7284331311833268,23465593,41641,0.17745556227792753,0.24139251988921673,30052674,105620,0.3514495914739567,0.6122782342090505
3,1024,tile_16x256,16,256,4.492,4.2,0.99,172083811,46041365,3.7375914245809176,23419860,28183,0.12033803788750232,0.16377484805935638,29876385,90725,0.30366793037377177,0.5272140329342195
3,1024,tile_32x32,32,32,4.871,3.87,0.92,172971050,47371997,3.651335408131517,23516776,58086,0.24699814294272313,0.33581342080076404,30262413,124091,0.4100499190200068,0.7174090693211378
3,1024,tile_32x64,32,64,4.718,4.0,0.95,172465323,46534781,3.7061595497784765,23462992,40941,0.1744918124679069,0.23738685138461138,30041287,103283,0.34380351281221744,0.5988624159536118
3,1024,tile_32x128,32,128,4.548,4.15,0.98,172170954,46217621,3.725223200043118,23428714,32603,0.1391582995122993,0.18936411306636544,29921171,94040,0.3142925121480038,0.5462013064061898
3,1024,tile_32x256,32,256,4.508,4.19,0.99,172133912,46114930,3.7327154567945784,23428911,28937,0.12350979522693138,0.16810749063787037,29886682,93756,0.3137049472403795,0.544668966798361
3,1024,tile_64x64,64,64,4.666,4.05,0.95,172489975,46681198,3.6950631601185555,23464582,41367,0.1762954907954465,0.2398226331704205,30047708,105724,0.351853791976413,0.6129283745330707
3,1024,tile_64x128,64,128,4.561,4.14,0.98,172113877,47461182,3.6264136236640714,23419941,32172,0.13737011549260522,0.18692275463645502,29907018,96668,0.32322848102074236,0.5616514001366665
3,1024,tile_64x256,64,256,4.505,4.19,0.99,172052584,46133281,3.7294677566939147,23417641,28107,0.12002489917750467,0.16336284725604586,29867264,90853,0.3041892287154257,0.5280536792170467
3,1024,tile_128x128,128,128,4.546,4.15,0.98,172185771,46580532,3.696517914393936,23429945,32695,0.13954364809648506,0.1898821244642799,29923667,94067,0.31435652588969126,0.5463111118513968
3,2048,naive,0,0,17.823,4.24,1.0,669029449,182715700,3.661587094048295,92517481,47775,0.051638889735875965,0.07140941265202812,113006168,243718,0.2156678739871969,0.36428590754007306
3,2048,tile_16x16,16,16,23.049,3.28,0.85,688010963,204983891,3.356414787735686,92976020,313840,0.3375494025233603,0.4561555220450753,120438008,575099,0.4775062370676207,0.8358863897928905
3,2048,tile_16x64,16,64,18.821,4.01,0.95,681865703,187213211,3.642187959694789,92352571,114199,0.12365546379862018,0.16748019367678918,117736124,331670,0.28170623316935417,0.4864154312803148
3,2048,tile_16x256,16,256,18.18,4.15,0.98,680383386,184428903,3.689136436494447,92203153,62748,0.06805407186021069,0.0922244741584563,117074829,275728,0.235514330753368,0.405253869617563
3,2048,tile_32x32,32,32,19.694,3.83,0.91,683831665,188623747,3.625374195328651,92558532,189742,0.20499676896344898,0.277468870939166,118604575,446871,0.3767738301831949,0.6534809995965893
3,2048,tile_32x64,32,64,18.82,4.01,0.95,681762800,186287014,3.659744097889722,92342166,111584,0.1208375380755093,0.16366982768787033,117704165,328446,0.279043651513946,0.4817599317533899
3,2048,tile_32x128,32,128,18.43,4.1,0.97,680920040,186037235,3.660127715830651,92263883,78345,0.08491405027902414,0.11505756241217398,117301745,299677,0.25547531283528646,0.44010600716054704
3,2048,tile_32x256,32,256,18.27,4.13,0.98,680330154,187023286,3.6376761875523886,92197342,61510,0.06671558926286617,0.09041198547257102,117059361,278394,0.23782292814668618,0.4092042640814654
3,2048,tile_64x64,64,64,18.866,4.0,0.95,682051993,188741814,3.613677216220885,92405231,111715,0.12089683537504495,0.16379249844080435,117765701,337833,0.286868754765872,0.4953185438459675
3,2048,tile_64x128,64,128,18.839,4.01,0.95,680858854,187521229,3.630836133225215,92254840,78587,0.08518469058100367,0.11542333559783596,117285074,285363,0.24330717479020392,0.4191221107333944
3,2048,tile_64x256,64,256,18.366,4.11,0.97,680402893,186280503,3.6525716972108455,92210690,61830,0.06705296316511676,0.09087262949071558,117075396,279732,0.23893320847703986,0.41112699972014966
3,2048,tile_128x128,128,128,18.745,4.03,0.95,680771757,189401925,3.594323325911286,92243542,78039,0.08460104448287556,0.11463313393596028,117262372,285212,0.243225508008656,0.41895392555187916
3,4096,naive,0,0,71.501,4.22,1.0,2671260008,710793633,3.758137220117727,368960603,129355,0.03505929872951774,0.04842471328609057,450530766,1205478,0.26756840841364427,0.4512769241443306
3,4096,tile_16x16,16,16,85.307,3.54,0.83,2753676109,763862235,3.6049381456853933,372146808,1229084,0.33026858583185803,0.4463429798380838,481621230,2333332,0.48447449046214186,0.8473516519876231
3,4096,tile_16x64,16,64,74.82,4.04,0.95,2729094167,739763185,3.6891456919419423,369638787,402483,0.10888548879476763,0.14747860475713662,470779903,1312600,0.27881394078965177,0.48096544848904804
3,4096,tile_16x256,16,256,72.55,4.16,0.98,2722543739,750078894,3.6296765057356755,368928590,194985,0.05285169143437759,0.07161868410298476,468057788,1105463,0.23618087944303148,0.4060404922662659
3,4096,tile_32x32,32,32,78.432,3.85,0.98,2736248620,752137400,3.637963781617561,370339833,666036,0.17984454834487112,0.24341209169801245,474139054,1658109,0.3497094335536427,0.6059789259939398
3,4096,tile_32x64,32,64,75.064,4.02,0.95,2728398702,745981885,3.6574597277251577,369535731,393944,0.1066051174358563,0.144386522289146,470644097,1289976,0.2740873641510902,0.47279600267160665
3,4096,tile_32x128,32,128,73.495,4.11,0.97,2724173986,740240201,3.68012164473083,369092294,258760,0.0701071261054288,0.09498659091886652,468838642,1134409,0.2419614977043637,0.41642310874045624
3,4096,tile_32x256,32,256,72.709,4.15,0.98,2723513739,739889796,3.6809721579130956,369083218,192588,0.05218010210369413,0.07071306351137155,468221035,1089145,0.2326134279721115,0.3999043531169791
3,4096,tile_64x64,64,64,75.421,4.0,0.95,2728963000,754578779,3.61653822761427,369625625,393384,0.1064276861215994,0.1441514597303078,470755709,1293408,0.27475142101781713,0.4739558579577664
3,4096,tile_64x128,64,128,75.929,3.98,0.94,2725234654,751571245,3.6260496554787696,369249520,257465,0.0697265632193645,0.0944744334665282,469040658,1153435,0.24591364955828626,0.4232424530148368
3,4096,tile_64x256,64,256,73.808,4.09,0.96,2722237127,743389537,3.6619255336654004,368888253,189626,0.05140472716543783,0.06965814921824039,467977350,1055993,0.22565045081775859,0.38791367200393045
3,4096,tile_128x128,128,128,75.131,4.02,0.95,2724177631,747669164,3.643560229802389,369096562,255755,0.06929216533856525,0.09388337863493748,468832937,1134793,0.24204634752442744,0.4165635115296929
9,256,naive,0,0,2.454,4.33,1.0,45439799,14936214,3.042256826261327,7115324,81257,1.1419999988756662,1.7882341424969772,11989861,28384,0.23673335328908318,0.6246506504133085
9,256,tile_16x16,16,16,2.421,4.39,1.02,46086682,13528191,3.4067143197490335,7116773,86815,1.2198646774317516,1.8837329187638199,12096312,27259,0.22534967682711887,0.591472391091205
9,256,tile_16x64,16,64,2.413,4.4,1.02,46073351,13688756,3.3657807181309973,7122254,84149,1.181493948404536,1.8264137114749912,12072470,27121,0.2246516247296535,0.5886483056116323
9,256,tile_16x256,16,256,2.414,4.4,1.02,46091514,13341892,3.454646012724432,7124695,78924,1.1077526827464192,1.712332556487513,12072840,27602,0.22862888930856368,0.5988521010613798
9,256,tile_32x32,32,32,2.423,4.38,1.02,46067884,13559629,3.397429531442195,7119118,85354,1.19894065528904,1.8527875081043446,12077672,27331,0.22629361022554675,0.593276652342009
9,256,tile_32x64,32,64,2.411,4.4,1.02,46052139,13668848,3.3691309611461038,7116117,83619,1.175064996823408,1.8157462783650504,12068441,28514,0.236269125399047,0.6191677654755624
9,256,tile_32x128,32,128,2.418,4.39,1.02,46108284,13602232,3.389758680781213,7127109,83145,1.1666020542130056,1.803255137406545,12078792,27775,0.2299484915378955,0.6023863304043152
9,256,tile_32x256,32,256,2.414,4.4,1.02,46017983,13576380,3.38956209239871,7113827,82590,1.1609784719251677,1.794733158991345,12055522,28009,0.2323333655730544,0.6086533605786243
9,256,tile_64x64,64,64,2.411,4.4,1.02,46030626,13616825,3.38042282250084,7112830,83903,1.1796008058677068,1.8227646958353336,12063285,28101,0.23294649840404166,0.6104848541490615
9,256,tile_64x128,64,128,2.413,4.4,1.02,46006526,13465005,3.416747784349133,7110656,83414,1.173084452404954,1.8130906037113081,12054188,28533,0.23670611409080397,0.6201946219542854
9,256,tile_64x256,64,256,2.409,4.41,1.02,46110580,13582762,3.3947867156915508,7125622,82434,1.1568674285557106,1.7877458925912446,12078508,28680,0.2374465455501623,0.6219830676603938
9,256,tile_128x128,128,128,2.412,4.4,1.02,46011615,13443012,3.4227162037793315,7113066,83510,1.1740366249940601,1.8149765010421823,12054332,28832,0.23918372249909825,0.6266243860381775
9,512,naive,0,0,9.792,4.34,1.0,172087736,45920315,3.7475295193423652,26740391,265725,0.9937214455839483,1.5441251432350762,45556758,43360,0.09517797557060578,0.25196449792331516
9,512,tile_16x16,16,16,9.674,4.39,1.01,175003025,46533009,3.760836205541748,26801551,296631,1.106768037416939,1.695004986342379,46054913,41493,0.0900946224781708,0.2370987587214564
