K,N,stage,time_ms,gflops,speedup,instructions,cycles,ipc,branches,branch_misses,branch_miss_rate_pct,branch_mpki,l1_loads,l1_misses,l1_miss_rate_pct,l1_mpki
3,256,naive,0.625,1.89,1.0,13560848,5167056,2.62448249060974,1997619,16993,0.8506627139609705,1.2530927269445098,2548984,26412,1.0361775515264122,1.9476658096897776
3,256,reorder,0.409,2.88,1.528117359413203,11758849,4976476,2.36288670939034,1739461,19088,1.097351420928667,1.6232881296460222,2547188,27691,1.0871203853033227,2.354907355303227
3,256,unroll,0.174,6.76,3.591954022988506,9061596,4783592,1.8943078757552902,1267025,17389,1.3724275369467849,1.9189776282235493,2051701,27047,1.318272009420476,2.9847942901007727
3,256,tile,0.495,2.38,1.2626262626262625,13734753,5261299,2.610525081353483,1994638,16903,0.847421938216358,1.2306737514682644,2610372,26333,1.0087834224394072,1.9172532625814238
3,256,simd,0.082,14.34,7.621951219512195,8235378,4207271,1.9574156264238742,1247232,16796,1.3466620484400658,2.039493512016085,1508901,25830,1.7118419299874545,3.1364680528325475
3,256,optimized,0.041,28.54,15.24390243902439,7797882,4312019,1.808406224555133,1162006,17140,1.47503541289804,2.1980327478666646,1459945,29139,1.9958971057128863,3.7367839113236134
3,512,naive,1.947,2.42,1.0,44640821,13023123,3.4278122843499212,6283095,19070,0.303512838815902,0.4271874838502634,7800545,41044,0.5261683638771394,0.9194275347220877
3,512,reorder,1.21,3.9,1.6090909090909091,37405172,11654652,3.209462796486759,5246719,23619,0.4501670472537218,0.6314367435604894,7800341,43928,0.5631548672038825,1.1743830505578212
3,512,unroll,0.686,6.88,2.8381924198250728,26412097,10601159,2.491434851604433,3326537,18675,0.561394627506022,0.7070623737297345,5759144,41332,0.7176760990869476,1.564888997643769
3,512,tile,1.952,2.42,0.997438524590164,45410826,13139587,3.45603145669647,6278328,19293,0.3072951906940829,0.424854637085879,8065925,41116,0.509749346789116,0.9054228610596072
3,512,simd,0.237,19.94,8.215189873417723,23438720,9458784,2.477984485109291,3295682,18653,0.5659830044282185,0.7958199082543757,3664080,41307,1.1273498395231545,1.762340264314775
3,512,optimized,0.144,32.78,13.520833333333334,21463638,9276195,2.3138407504370058,2927642,18513,0.6323519064147871,0.8625285238224759,3411868,49546,1.452166379238587,2.308369159040047
3,1024,naive,7.719,2.45,1.0,169372257,45111414,3.75453221218027,23515490,24943,0.10607050926857149,0.14726732961939568,28903572,92709,0.32075274294817263,0.5473682741324041
3,1024,reorder,4.906,3.85,1.5733795352629434,139643495,39416328,3.5427829553275485,19228571,33931,0.17646137094639014,0.24298303333069685,28799538,98771,0.3429603627669305,0.7073082781263818
3,1024,unroll,2.752,6.86,2.804869186046512,96000216,34146176,2.811448520619117,11589724,25646,0.22128223243279996,0.2671452322565608,20636169,89165,0.4320811677787675,0.9287999935333479
3,1024,tile,7.798,2.42,0.9898691972300591,172088694,45122548,3.81380710149613,23412432,28470,0.12160206167390042,0.16543794562122716,29884254,93909,0.31424241006651865,0.5457011603562986
3,1024,simd,1.004,18.81,7.688247011952192,84116152,34722794,2.422505285720959,11467773,25159,0.21938871653633188,0.299098322995089,12257150,93806,0.765316570328339,1.1151960446312381
3,1024,optimized,0.665,28.39,11.607518796992482,76249197,32735819,2.329228329372178,9997362,24570,0.24576483276288283,0.3222329016789514,11251668,125717,1.1173187833128384,1.648764904370075
3,2048,naive,31.197,2.42,1.0,668756041,182771927,3.658964765414986,92416503,47091,0.05095518491973236,0.07041581251301175,113009239,275048,0.243385410284906,0.41128301374103027
3,2048,reorder,20.487,3.69,1.52277053741397,550378334,166509957,3.3053779120248046,75416424,65092,0.08631011197242659,0.11826773689823335,112782060,307694,0.2728217590634539,0.5590590708100076
3,2048,unroll,10.972,6.88,2.8433284724753918,376139848,133469880,2.818162779497517,44896460,48050,0.10702402817504988,0.12774504019047725,80135757,293457,0.36619982263348433,0.7801805673085719
3,2048,tile,31.223,2.42,0.9991672805303783,680345601,178187253,3.818149668652224,92162652,61863,0.06712371948671789,0.09092878664765557,117091402,301635,0.25760644662876275,0.4433555527611915
3,2048,simd,4.08,18.5,7.646323529411764,328494546,118976031,2.7610144937512664,44385318,46402,0.10454357902764153,0.14125653093795962,46597201,318035,0.6825195358837111,0.9681591486757896
3,2048,optimized,2.607,28.96,11.966628308400459,296779470,115898155,2.5606919281847067,38468625,45951,0.11945059122856613,0.15483213848990296,42510104,411299,0.9675323306666105,1.3858741644090138
3,4096,naive,122.314,2.47,1.0,2670936931,696227684,3.836298085210872,368704394,129037,0.0349974131309105,0.0483115114034866,450681820,1404054,0.3115399684859709,0.5256784552656291
3,4096,reorder,81.133,3.72,1.5075739834592583,2200755966,620363557,3.5475261903561495,301561138,164966,0.054703998364669916,0.07495878804765217,450495500,1407216,0.3123707118051124,0.6394239169360043
3,4096,unroll,43.769,6.9,2.7945349448239623,1505038361,536370577,2.805967414204378,179632210,131273,0.0730787646603023,0.08722236150364808,320246815,1336310,0.41727503207174754,0.8878909897765722
3,4096,tile,125.451,2.41,0.9749942208511689,2722108904,715465286,3.8046694329765147,368780681,194639,0.05277906626567567,0.07150301727972305,468081040,1223885,0.26146861235823604,0.4496091240881522
3,4096,simd,22.582,13.37,5.416437870870604,1314343783,472146081,2.783765101292877,177560314,128334,0.07227628579210556,0.0976411207325656,186064995,1480386,0.7956284308072026,1.1263308878146077
3,4096,optimized,11.732,25.74,10.425673371974089,1188428266,465412486,2.553494591891976,154051818,127665,0.08287146601541567,0.1074233958013247,169915707,2666882,1.5695323564171735,2.244041206606575
9,256,naive,4.246,2.5,1.0,45445850,13284646,3.4209304485795107,7116284,82611,1.1608727251470008,1.81778974317787,11993571,28691,0.23921982868988725,0.6313227720462925
9,256,reorder,2.741,3.87,1.5490696825975923,45084685,10203613,4.418502054125338,6488005,40399,0.6226721465226984,0.8960692527850643,12015854,28086,0.23374118893255527,0.6229609899681012
9,256,unroll,1.442,7.36,2.9445214979195566,17146338,6992193,2.452211773902694,1902309,17842,0.9379128206826546,1.0405720451795595,7354913,28770,0.39116710150072476,1.67790930051653
9,256,tile,4.172,2.54,1.0177372962607865,46039358,13313891,3.4579942107081996,7116172,82507,1.1594295359921036,1.792097100919609,12061588,27814,0.23059981819972628,0.6041352705222345
9,256,simd,0.651,16.3,6.5222734254992325,11668757,5426011,2.1505221791846716,1893007,17303,0.9140483896784322,1.4828486016119797,2697463,26577,0.9852591119878197,2.2776204869121877
9,256,optimized,0.284,37.38,14.950704225352116,8779703,4534887,1.9360356718921552,1239943,16800,1.3549009914165409,1.9135043634163935,2114376,28571,1.351273378055748,3.2542103075696294
9,512,naive,16.939,2.51,1.0,172239756,44539359,3.8671359414939044,26763393,238608,0.8915461503703959,1.3853247678776321,45596202,47802,0.10483767924354753,0.2775317447616449
9,512,reorder,10.47,4.06,1.6178605539637056,170188478,32267790,5.274252683558434,24193707,65570,0.2710208898537128,0.3852787260956644,45629272,47490,0.1040779261172521,0.2790435672149321
9,512,unroll,5.736,7.4,2.953103207810321,58930127,20875693,2.8229063820779507,5894572,32931,0.5586665155672031,0.5588143395652279,27011217,48361,0.17904043346140236,0.8206498519848769
9,512,tile,16.613,2.56,1.0196231866610486,174646970,45530538,3.8358204772366187,26772028,274577,1.0256115076526888,1.5721830158290178,45874184,51036,0.11125211513299069,0.29222379294642215
9,512,simd,2.605,16.3,6.502495201535509,37042514,14176096,2.613026463703406,5858855,19610,0.3347070374672184,0.5293917146120266,8390968,41613,0.4959260957734555,1.1233848760912932
9,512,optimized,1.136,37.4,14.911091549295776,25518123,11035726,2.3123193707418976,3246487,18788,0.5787178571791601,0.7362610486672551,6065794,48389,0.797735630323087,1.8962601598871516
9,1024,naive,66.954,2.54,1.0,679116662,171332171,3.963742816286382,105307655,965411,0.9167529179146569,1.4215687142130522,179930214,109401,0.06080190623237963,0.1610930877145818
9,1024,reorder,41.271,4.12,1.622301373846042,669534615,120000661,5.579424391670643,94887326,118198,0.12456668870613975,0.17653754914523725,179973192,142525,0.07919234993620605,0.2128717422623474
9,1024,unroll,22.96,7.4,2.9161149825783967,226037241,75662103,2.9874564945676965,21864305,98162,0.448960074422672,0.4342735717606817,105630313,128993,0.12211740771799096,0.5706714496661194
9,1024,tile,64.813,2.62,1.0330334963664696,688612809,173288876,3.973785420594453,105308629,963230,0.9146733835078226,1.3987976805119233,181020446,134316,0.0741993531493122,0.19505300837353434
9,1024,simd,10.421,16.3,6.424911236925439,138548184,50083193,2.766360842848019,21716647,27098,0.12477985206463962,0.19558538565904265,31173011,94877,0.30435622660897277,0.6847942517961838
9,1024,optimized,5.129,33.12,13.054006628972509,92555701,40035019,2.3118685418882903,11290768,25777,0.2283015646057026,0.2785025635535946,21887444,175932,0.8038033129862034,1.9008229433646664
9,2048,naive,270.169,2.52,1.0,2709056927,692151991,3.9139624854449058,419869896,2950363,0.7026850527049932,1.0890738288276656,717412389,407997,0.056870637621508936,0.15060480860836484
9,2048,reorder,164.132,4.14,1.6460470840542976,2668987866,481356805,5.544718259462438,378064284,233940,0.06187836563794532,0.0876512040313637,717504247,580296,0.08087701256491657,0.21742174529616237
