K,stage,time_ms,speedup,hit_rate_pct,miss_rate_pct,mpki,window_KB
3,naive,20.269,1.000,99.4588,0.5412,1.0646,24.0
3,tile128,20.423,1.020,99.5510,0.4490,0.9332,24.0
5,naive,55.782,1.000,99.5728,0.4272,1.0329,40.1
5,tile128,57.724,0.980,99.8025,0.1975,0.4962,40.1
7,naive,89.057,1.000,99.5395,0.4605,1.2219,56.2
7,tile128,92.868,1.000,99.8792,0.1208,0.3296,56.2
9,naive,156.280,1.000,99.6358,0.3642,1.0180,72.3
9,tile128,164.969,0.960,99.8993,0.1007,0.2875,72.3
11,naive,248.961,1.000,99.6863,0.3137,0.9060,88.4
11,tile128,238.986,1.020,99.8760,0.1240,0.3645,88.4
15,naive,495.753,1.000,99.7771,0.2229,0.6694,120.8
15,tile128,503.976,0.980,99.9234,0.0766,0.2328,120.8
