size,tile,time_ms,speedup,hit_rate_pct,miss_rate_pct,mpki
512,naive,1.257,1.000,99.5279,0.4721,0.9336
512,32x32,1.246,0.990,99.4362,0.5638,1.1854
512,128x128,1.124,1.060,99.5457,0.4543,0.9443
512,512x512,1.105,1.120,99.5740,0.4260,0.8876
1024,naive,5.244,1.000,99.5482,0.4518,0.8897
1024,32x32,5.002,1.010,99.3795,0.6205,1.3029
1024,128x128,4.652,1.060,99.5374,0.4626,0.9619
1024,512x512,4.447,1.140,99.5745,0.4255,0.8821
2048,naive,20.219,1.000,99.4692,0.5308,1.0441
2048,32x32,20.931,0.960,99.3917,0.6083,1.2759
2048,128x128,19.950,1.020,99.5457,0.4543,0.9445
2048,512x512,18.390,1.110,99.5806,0.4194,0.8699
4096,naive,79.761,1.000,98.9584,1.0416,2.0485
4096,32x32,83.272,0.960,99.3849,0.6151,1.2903
4096,128x128,81.656,0.980,99.5415,0.4585,0.9530
4096,512x512,74.011,1.080,99.5768,0.4232,0.8778
