tile,time_ms,speedup,hit_rate_pct,miss_rate_pct,mpki
naive,21.067,1.000,99.4736,0.5264,1.0353
4x4,25.404,0.790,99.5153,0.4847,1.1002
8x8,26.574,0.750,99.5268,0.4732,1.0283
16x16,22.248,0.910,99.2429,0.7571,1.6072
32x32,20.688,0.980,99.3887,0.6113,1.2825
64x64,22.784,0.880,99.5080,0.4920,1.0257
128x128,20.015,1.010,99.5885,0.4115,0.8556
256x256,18.325,1.080,99.5744,0.4256,0.8835
512x512,17.987,1.100,99.5763,0.4237,0.8787
1024x1024,18.572,1.100,99.5820,0.4180,0.8667
2048x2048,17.747,1.160,99.5374,0.4626,0.9589
